transaction_id,customer_id,product_id,store_id,quantity,unit_price,total_amount,transaction_ts,payment_mode,last_updated_ts
BM-TXN0025057,BM-C01014,BM-P0020,BM-S030,2,19.13,38.26,2023-01-28 05:43:03,Wallet,2023-01-28 05:43:03
BM-TXN0022296,BM-C01860,BM-P0027,BM-S028,3,553.16,1659.48,2024-01-07 08:45:36,Card,2024-01-07 08:45:36
BM-TXN0054037,BM-C02055,BM-P0035,BM-S019,9,250.06,2250.54,2023-11-05 13:56:14,Cash,2023-11-05 13:56:14
BM-TXN0007552,BM-C01814,BM-P0021,BM-S022,6,526.7,3160.2,2023-12-13 22:08:16,Wallet,2023-12-13 22:08:16
BM-TXN0049063,BM-C01765,BM-P0039,BM-S017,10,643.35,6433.5,2023-05-17 05:01:22,Cash,2023-05-17 05:01:22
BM-TXN0046215,BM-C00125,BM-P0014,BM-S007,5,141.26,706.3,2023-02-20 10:57:54,UPI,2023-02-20 10:57:54
BM-TXN0037198,BM-C00988,BM-P0011,BM-S029,4,153.84,615.36,2024-02-28 12:23:44,UPI,2024-02-28 12:23:44
BM-TXN0034510,BM-C03096,BM-P0024,BM-S033,6,113.73,682.38,2023-01-27 19:38:05,UPI,2023-01-27 19:38:05
BM-TXN0044962,BM-C03671,BM-P0031,BM-S008,4,381.62,1526.48,2024-03-24 19:24:54,UPI,2024-03-24 19:24:54
BM-TXN0027656,BM-C00252,BM-P0015,BM-S037,10,427.68,4276.8,2024-11-10 18:00:51,Wallet,2024-11-10 18:00:51
BM-TXN0056618,BM-C03837,BM-P0029,BM-S017,7,94.26,659.82,2024-05-01 20:52:15,Card,2024-05-01 20:52:15
BM-TXN0006733,BM-C00101,BM-P0003,BM-S002,4,189.64,758.56,2023-10-27 18:21:36,Wallet,2023-10-27 18:21:36
BM-TXN0019137,BM-C01659,BM-P0011,BM-S007,9,153.84,1384.56,2024-04-25 13:28:58,Cash,2024-04-25 13:28:58
BM-TXN0051783,BM-C00875,BM-P0039,BM-S004,10,643.35,6433.5,2023-11-05 16:28:38,Cash,2023-11-05 16:28:38
BM-TXN0024938,BM-C02467,BM-P0030,BM-S037,5,365.55,1827.75,2023-11-03 21:48:41,Card,2023-11-03 21:48:41
BM-TXN0039101,BM-C02880,BM-P0032,BM-S005,4,434.9,1739.6,2024-07-19 09:19:24,Card,2024-07-19 09:19:24
BM-TXN0012282,BM-C02821,BM-P0031,BM-S003,2,381.62,763.24,2024-08-31 21:39:00,Cash,2024-08-31 21:39:00
BM-TXN0013091,BM-C01352,BM-P0012,BM-S020,1,335.9,335.9,2024-10-04 02:08:59,Cash,2024-10-04 02:08:59
BM-TXN0013900,BM-C00680,BM-P0031,BM-S033,6,381.62,2289.72,2023-06-14 13:26:04,Wallet,2023-06-14 13:26:04
BM-TXN0008540,BM-C01355,BM-P0002,BM-S028,3,30.88,92.64,2023-12-30 20:29:14,Cash,2023-12-30 20:29:14
BM-TXN0045563,BM-C01247,BM-P0015,BM-S020,8,427.68,3421.44,2023-05-05 19:23:01,Card,2023-05-05 19:23:01
BM-TXN0029933,BM-C03157,BM-P0021,BM-S007,8,526.7,4213.6,2024-03-22 07:50:03,UPI,2024-03-22 07:50:03
BM-TXN0011087,BM-C02298,BM-P0037,BM-S029,3,418.21,1254.63,2023-09-28 08:18:18,Card,2023-09-28 08:18:18
BM-TXN0028118,BM-C01899,BM-P0008,BM-S010,9,70.21,631.89,2023-02-23 00:08:41,Wallet,2023-02-23 00:08:41
BM-TXN0038323,BM-C01232,BM-P0021,BM-S010,10,526.7,5267.0,2024-01-01 05:06:11,UPI,2024-01-01 05:06:11
BM-TXN0004183,BM-C00212,BM-P0016,BM-S020,6,361.04,2166.24,2023-10-20 16:28:40,UPI,2023-10-20 16:28:40
BM-TXN0027285,BM-C02759,BM-P0017,BM-S027,3,154.98,464.94,2024-02-20 18:56:58,Wallet,2024-02-20 18:56:58
BM-TXN0054966,BM-C02024,BM-P0025,BM-S001,5,622.83,3114.15,2024-02-08 00:59:20,UPI,2024-02-08 00:59:20
BM-TXN0048064,BM-C01686,BM-P0039,BM-S019,5,643.35,3216.75,2023-10-17 10:47:31,Cash,2023-10-17 10:47:31
BM-TXN0016770,BM-C01952,BM-P0012,BM-S032,1,335.9,335.9,2024-03-21 18:10:41,Cash,2024-03-21 18:10:41
BM-TXN0043075,BM-C01507,BM-P0010,BM-S031,6,33.92,203.52,2023-06-26 05:34:56,Card,2023-06-26 05:34:56
BM-TXN0021289,BM-C00156,BM-P0012,BM-S025,10,335.9,3359.0,2024-10-04 16:52:43,Wallet,2024-10-04 16:52:43
BM-TXN0027498,BM-C02264,BM-P0015,BM-S030,10,427.68,4276.8,2023-11-10 22:03:31,UPI,2023-11-10 22:03:31
