transaction_id,customer_id,product_id,store_id,quantity,unit_price,total_amount,transaction_ts,payment_mode,last_updated_ts
BM-TXN0001545,BM-C03416,BM-P0010,BM-S037,3,33.92,101.76,2025-01-06 09:10:35,Cash,2025-01-06 09:10:35
BM-TXN0001155,BM-C03873,BM-P0002,BM-S030,3,30.88,92.64,2025-01-05 14:42:02,UPI,2025-01-05 14:42:02
BM-TXN0000319,BM-C01094,BM-P0033,BM-S030,2,558.13,1116.26,2025-01-02 22:03:30,Wallet,2025-01-02 22:03:30
BM-TXN0002428,BM-C01953,BM-P0004,BM-S038,4,156.74,626.96,2025-01-06 12:04:56,Cash,2025-01-06 12:04:56
BM-TXN0001469,BM-C02395,BM-P0028,BM-S038,4,527.53,2110.12,2025-01-03 13:37:22,Wallet,2025-01-03 13:37:22
BM-TXN0001744,BM-C01267,BM-P0037,BM-S028,8,418.21,3345.68,2025-01-03 22:12:48,Card,2025-01-03 22:12:48
BM-TXN0002056,BM-C02291,BM-P0019,BM-S003,6,528.99,3173.94,2025-01-06 22:59:43,Cash,2025-01-06 22:59:43
BM-TXN0000915,BM-C01066,BM-P0029,BM-S025,3,94.26,282.78,2025-01-05 10:30:23,Cash,2025-01-05 10:30:23
BM-TXN0001786,BM-C00166,BM-P0032,BM-S029,2,434.9,869.8,2025-01-01 01:32:49,Cash,2025-01-01 01:32:49
BM-TXN0002430,BM-C02202,BM-P0038,BM-S023,4,118.76,475.04,2025-01-05 01:22:01,Card,2025-01-05 01:22:01
BM-TXN0001963,BM-C01636,BM-P0036,BM-S002,6,460.66,2763.96,2025-01-01 02:07:20,Cash,2025-01-01 02:07:20
BM-TXN0000310,BM-C00264,BM-P0005,BM-S034,3,482.66,1447.98,2025-01-03 23:04:12,Wallet,2025-01-03 23:04:12
BM-TXN0001503,BM-C01443,BM-P0024,BM-S008,1,113.73,113.73,2025-01-06 05:48:02,Card,2025-01-06 05:48:02
BM-TXN0000853,BM-C00290,BM-P0031,BM-S029,1,381.62,381.62,2025-01-02 12:21:31,Card,2025-01-02 12:21:31
BM-TXN0001661,BM-C01563,BM-P0015,BM-S033,5,427.68,2138.4,2025-01-05 01:45:35,Wallet,2025-01-05 01:45:35
BM-TXN0002264,BM-C02217,BM-P0039,BM-S038,2,643.35,1286.7,2025-01-06 04:53:40,UPI,2025-01-06 04:53:40
BM-TXN0002313,BM-C02284,BM-P0021,BM-S040,4,526.7,2106.8,2025-01-06 19:16:09,UPI,2025-01-06 19:16:09
BM-TXN0000912,BM-C00193,BM-P0035,BM-S024,9,250.06,2250.54,2025-01-05 01:53:37,Cash,2025-01-05 01:53:37
BM-TXN0000711,BM-C01292,BM-P0010,BM-S010,1,33.92,33.92,2025-01-02 16:19:23,UPI,2025-01-02 16:19:23
