transaction_id,customer_id,product_id,store_id,quantity,unit_price,total_amount,transaction_ts,payment_mode,last_updated_ts
QM-TXN0008322,QM-C00510,QM-P0001,QM-S001,8,540.93,4327.44,2024-07-09 23:36:01,Cash,2024-07-09 23:36:01
QM-TXN0000121,QM-C00357,QM-P0017,QM-S006,9,109.09,981.81,2023-12-30 06:48:42,Cash,2023-12-30 06:48:42
QM-TXN0003990,QM-C00585,QM-P0012,QM-S003,4,339.31,1357.24,2024-01-14 23:40:16,Card,2024-01-14 23:40:16
QM-TXN0008396,QM-C00590,QM-P0015,QM-S005,6,395.86,2375.16,2024-10-18 22:51:17,UPI,2024-10-18 22:51:17
QM-TXN0002739,QM-C00401,QM-P0007,QM-S001,4,583.35,2333.4,2024-03-12 19:50:20,Wallet,2024-03-12 19:50:20
QM-TXN0001862,QM-C00460,QM-P0001,QM-S007,7,540.93,3786.51,2024-09-08 08:40:33,UPI,2024-09-08 08:40:33
QM-TXN0000292,QM-C00646,QM-P0011,QM-S008,7,64.1,448.7,2024-08-02 11:01:37,Wallet,2024-08-02 11:01:37
QM-TXN0008155,QM-C00769,QM-P0021,QM-S008,3,594.96,1784.88,2023-10-31 04:27:39,Wallet,2023-10-31 04:27:39
QM-TXN0002537,QM-C00271,QM-P0024,QM-S007,10,440.82,4408.2,2023-04-13 15:00:57,Card,2023-04-13 15:00:57
QM-TXN0001346,QM-C00026,QM-P0010,QM-S003,2,278.92,557.84,2024-04-21 05:04:40,Wallet,2024-04-21 05:04:40
QM-TXN0008217,QM-C00214,QM-P0025,QM-S005,3,32.19,96.57,2023-07-05 18:34:41,Wallet,2023-07-05 18:34:41
QM-TXN0004413,QM-C00165,QM-P0001,QM-S006,3,540.93,1622.79,2023-10-22 16:49:32,Wallet,2023-10-22 16:49:32
QM-TXN0004024,QM-C00403,QM-P0010,QM-S004,7,278.92,1952.44,2024-01-31 08:30:55,Wallet,2024-01-31 08:30:55
QM-TXN0006323,QM-C00505,QM-P0019,QM-S003,1,175.98,175.98,2024-02-13 06:04:13,UPI,2024-02-13 06:04:13
QM-TXN0002004,QM-C00335,QM-P0009,QM-S002,9,369.1,3321.9,2024-01-25 09:23:00,UPI,2024-01-25 09:23:00
QM-TXN0008545,QM-C00064,QM-P0008,QM-S005,7,21.46,150.22,2023-08-01 09:06:29,Wallet,2023-08-01 09:06:29
QM-TXN0007644,QM-C00499,QM-P0005,QM-S007,10,181.15,1811.5,2023-10-15 21:01:04,Wallet,2023-10-15 21:01:04
QM-TXN0002518,QM-C00661,QM-P0010,QM-S008,1,278.92,278.92,2023-09-04 23:35:07,Wallet,2023-09-04 23:35:07
QM-TXN0001505,QM-C00335,QM-P0019,QM-S003,3,175.98,527.94,2024-11-21 03:09:17,Card,2024-11-21 03:09:17
QM-TXN0004911,QM-C00719,QM-P0002,QM-S008,4,270.07,1080.28,2023-12-31 05:54:58,Wallet,2023-12-31 05:54:58
QM-TXN0002656,QM-C00408,QM-P0006,QM-S002,6,472.31,2833.86,2023-07-07 02:07:38,UPI,2023-07-07 02:07:38
QM-TXN0005559,QM-C00189,QM-P0024,QM-S001,3,440.82,1322.46,2024-10-26 07:21:38,Wallet,2024-10-26 07:21:38
QM-TXN0005489,QM-C00721,QM-P0019,QM-S008,10,175.98,1759.8,2023-08-05 04:02:51,Card,2023-08-05 04:02:51
QM-TXN0002205,QM-C00239,QM-P0003,QM-S006,4,623.37,2493.48,2024-08-09 04:23:19,UPI,2024-08-09 04:23:19
QM-TXN0000225,QM-C00347,QM-P0012,QM-S008,5,339.31,1696.55,2024-04-16 10:36:08,Cash,2024-04-16 10:36:08
