transaction_id,customer_id,product_id,store_id,quantity,unit_price,total_amount,transaction_ts,payment_mode,last_updated_ts
QM-TXN0000260,QM-C00779,QM-P0013,QM-S005,3,231.72,695.16,2025-01-06 08:18:15,UPI,2025-01-06 08:18:15
QM-TXN0000141,QM-C00443,QM-P0011,QM-S007,5,64.1,320.5,2025-01-02 01:47:38,UPI,2025-01-02 01:47:38
QM-TXN0000092,QM-C00539,QM-P0015,QM-S001,4,395.86,1583.44,2025-01-06 03:39:02,Wallet,2025-01-06 03:39:02
QM-TXN0000093,QM-C00379,QM-P0018,QM-S002,2,641.18,1282.36,2025-01-01 06:33:12,UPI,2025-01-01 06:33:12
QM-TXN0000325,QM-C00041,QM-P0002,QM-S006,3,270.07,810.21,2025-01-03 07:02:58,Card,2025-01-03 07:02:58
QM-TXN0000156,QM-C00203,QM-P0024,QM-S004,6,440.82,2644.92,2025-01-06 16:21:26,Card,2025-01-06 16:21:26
QM-TXN0000037,QM-C00161,QM-P0020,QM-S002,2,298.04,596.08,2025-01-01 10:32:38,UPI,2025-01-01 10:32:38
QM-TXN0000288,QM-C00563,QM-P0001,QM-S006,1,540.93,540.93,2025-01-03 15:10:27,UPI,2025-01-03 15:10:27
QM-TXN0000049,QM-C00539,QM-P0012,QM-S005,10,339.31,3393.1,2025-01-01 06:22:03,Card,2025-01-01 06:22:03
QM-TXN0000337,QM-C00713,QM-P0013,QM-S003,1,231.72,231.72,2025-01-06 05:00:24,Card,2025-01-06 05:00:24
QM-TXN0000100,QM-C00141,QM-P0001,QM-S001,4,540.93,2163.72,2025-01-05 17:56:44,Cash,2025-01-05 17:56:44
QM-TXN0000294,QM-C00460,QM-P0001,QM-S008,7,540.93,3786.51,2025-01-02 15:03:48,Wallet,2025-01-02 15:03:48
QM-TXN0000107,QM-C00365,QM-P0005,QM-S002,5,181.15,905.75,2025-01-04 03:25:51,Wallet,2025-01-04 03:25:51
QM-TXN0000277,QM-C00486,QM-P0011,QM-S003,8,64.1,512.8,2025-01-03 17:46:37,Wallet,2025-01-03 17:46:37
QM-TXN0000048,QM-C00685,QM-P0013,QM-S008,6,231.72,1390.32,2025-01-05 12:56:04,UPI,2025-01-05 12:56:04
